jobid,company_name,date_posted_parsed,job_title,description_text,benefits,qualifications,job_type,location,salary_formatted,company_rating,company_reviews_count,country,date_posted,description,region,company_link,company_website,domain,apply_link,srcname,url,is_expired,discovery_input
  Job Responsibilities    Checks product to ensure it meets WFM quality standards.   Accurately sorts and scans waste.   Maintains production standards.   Stocks and cleans shelves, bins, and food preparation areas.   Maintains back stock in good order.   Handles DC and UNFI invoices for product delivered outside store receiving hours.   Properly checks-in product and reports miss-picks to team leadership.   Receives product from receiving location to sales floor or appropriate back stock spaces.   Aids in receiving and sorting overnight deliveries for other teams.   Arrives to work station on time, appropriately groomed, dressed and ready to work; works all scheduled shifts and attends required trainings and meetings.   Provides excellent customer service, addresses needs of customers in a timely and effective manner and models suggestive selling techniques; answers phones and pages promptly and courteously.   Maximizes sales potential through effective and proper procedures for prepping, storing, rotating, stocking, and merchandising product.   Follows and complies, or ensures compliance, with established procedures, including Weights and Measures, health and sanitation, and safe work practices.   Maintains, or ensures maintenance of, a clean and sanitary working and shopping environment; maintains equipment in accordance with WFM cleanliness and safety standards.   Performs opening, mid, and closing duties as assigned; ensures accuracy of signs and pricing.   Immediately reports safety hazards and violations.   Performs other duties as assigned by store, regional, or national leadership.    Job Skills    Ability to learn basic knowledge of all products carried in the department.   Ability to visually examine products for quality and freshness.   Ability to perform simple math (addition, subtraction, multiplication, and division).   Strong to excellent communication skills and willingness to work as part of a team.   Ability to deliver information in a clear and respectable manner to fellow Team Members
  Job Responsibilities    Checks product to ensure it meets WFM quality standards.   Accurately sorts and scans waste.   Maintains production standards.   Stocks and cleans shelves, bins, and food preparation areas.   Maintains back stock in good order.   Handles DC and UNFI invoices for product delivered outside store receiving hours.   Properly checks-in product and reports miss-picks to team leadership.   Receives product from receiving location to sales floor or appropriate back stock spaces.   Aids in receiving and sorting overnight deliveries for other teams.   Arrives to work station on time, appropriately groomed, dressed and ready to work; works all scheduled shifts and attends required trainings and meetings.   Provides excellent customer service, addresses needs of customers in a timely and effective manner and models suggestive selling techniques; answers phones and pages promptly and courteously.   Maximizes sales potential through effective and proper procedures for prepping, storing, rotating, stocking, and merchandising product.   Follows and complies, or ensures compliance, with established procedures, including Weights and Measures, health and sanitation, and safe work practices.   Maintains, or ensures maintenance of, a clean and sanitary working and shopping environment; maintains equipment in accordance with WFM cleanliness and safety standards.   Performs opening, mid, and closing duties as assigned; ensures accuracy of signs and pricing.   Immediately reports safety hazards and violations.   Performs other duties as assigned by store, regional, or national leadership.    Job Skills    Ability to learn basic knowledge of all products carried in the department.   Ability to visually examine products for quality and freshness.   Ability to perform simple math (addition, subtraction, multiplication, and division).   Strong to excellent communication skills and willingness to work as part of a team.   Ability to deliver information in a clear and respectable manner to fellow Team Members
 Responsibilities include but are not limited to:    Plans, organizes, coordinates, implements, conducts goal oriented assigned discharge readiness groups, sessions, activities, and Community Integration Outings.   Observes, interviews, and prepares timely written and electronic medical records documentation related to treatment team goals on assigned patients identifying interests, skills, and problem areas, inclusive of treatment plans, assessments, re-assessments, progress notes, interest surveys.   Submits calendars, requisitions, statistical reports as requested and/or needed.   Implements groups according to the discharge initiative curriculums.   Provides pertinent feedback and input to Treatment Team regarding patients' progress, involvement, and schedules for discharge.   Attends and Participates in Treatment Team meetings as needed for discharge planning.   Submits information for the Master Treatment Plan as it relates to assigned Patients and groups, providing timely, accurate documentation as required.   Plans, coordinates
 Responsibilities include but are not limited to:    Plans, organizes, coordinates, implements, conducts goal oriented assigned discharge readiness groups, sessions, activities, and Community Integration Outings.   Observes, interviews, and prepares timely written and electronic medical records documentation related to treatment team goals on assigned patients identifying interests, skills, and problem areas, inclusive of treatment plans, assessments, re-assessments, progress notes, interest surveys.   Submits calendars, requisitions, statistical reports as requested and/or needed.   Implements groups according to the discharge initiative curriculums.   Provides pertinent feedback and input to Treatment Team regarding patients' progress, involvement, and schedules for discharge.   Attends and Participates in Treatment Team meetings as needed for discharge planning.   Submits information for the Master Treatment Plan as it relates to assigned Patients and groups, providing timely, accurate documentation as required.   Plans, coordinates
  Pacific Clinics serves children, transitional age youth, families, adults, and older adults. We offer a full range of mental and behavioral health services, foster care and social services, housing, continuing adult education and early childhood education programs to Medi-Cal eligible individuals and families throughout Alameda, Contra Costa, Fresno, Kings, Los Angeles, Madera, Orange, Placer, Riverside, Sacramento, San Bernardino, San Francisco, Santa Clara, Solano, Stanislaus, Stockton, Tulare and Ventura Counties. 
  Pacific Clinics serves children, transitional age youth, families, adults, and older adults. We offer a full range of mental and behavioral health services, foster care and social services, housing, continuing adult education and early childhood education programs to Medi-Cal eligible individuals and families throughout Alameda, Contra Costa, Fresno, Kings, Los Angeles, Madera, Orange, Placer, Riverside, Sacramento, San Bernardino, San Francisco, Santa Clara, Solano, Stanislaus, Stockton, Tulare and Ventura Counties. 
  Pilot Company is an industry-leading network of travel centers with more than 30,000 team members and over 750 retail and fueling locations in 44 states and six Canadian provinces. Our energy and logistics division serves as a top supplier of fuel, employing one of the largest tanker fleets and providing critical services to oil operations in our nation's busiest basins. Pilot Company supports a growing portfolio of brands with expertise in supply chain and retail operations, logistics and transportation, technology and digital innovation, construction, maintenance, human resources, finance, sales and marketing.  Founded in 1958 by Jim A. Haslam II and currently led by CEO Adam Wright, our founding values, people-first culture and commitment to giving back remains true to us today. Whether we are serving guests, a fellow team member, or a trucking company, we are dedicated to fueling people and keeping North America moving.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or any other characteristic protected under applicable federal, state or local law. 
  Pilot Company is an industry-leading network of travel centers with more than 30,000 team members and over 750 retail and fueling locations in 44 states and six Canadian provinces. Our energy and logistics division serves as a top supplier of fuel, employing one of the largest tanker fleets and providing critical services to oil operations in our nation's busiest basins. Pilot Company supports a growing portfolio of brands with expertise in supply chain and retail operations, logistics and transportation, technology and digital innovation, construction, maintenance, human resources, finance, sales and marketing.  Founded in 1958 by Jim A. Haslam II and currently led by CEO Adam Wright, our founding values, people-first culture and commitment to giving back remains true to us today. Whether we are serving guests, a fellow team member, or a trucking company, we are dedicated to fueling people and keeping North America moving.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or any other characteristic protected under applicable federal, state or local law. 
 In this role, you will:    Lead computer security incident response activities for highly complex events   Conduct technical investigation of security related incidents and post-incident digital forensics to identify causes and recommend future mitigation strategies   Provide security consulting on large projects for internal clients to ensure conformity with corporate information, security policy, and standards   Design, document, test, maintain, and provide issue resolution recommendations for highly complex security solutions related to networking, cryptography, cloud, authentication and directory services, email, internet, applications, and endpoint security   Review and correlate security logs   Utilize subject matter knowledge in industry leading security solutions and best practices to implement one or more components of information security such as availability, integrity, confidentiality, risk management, threat identification, modeling, monitoring, incident response, access management, and business continuity   Identify security vulnerabilities and issues
 In this role, you will:    Lead computer security incident response activities for highly complex events   Conduct technical investigation of security related incidents and post-incident digital forensics to identify causes and recommend future mitigation strategies   Provide security consulting on large projects for internal clients to ensure conformity with corporate information, security policy, and standards   Design, document, test, maintain, and provide issue resolution recommendations for highly complex security solutions related to networking, cryptography, cloud, authentication and directory services, email, internet, applications, and endpoint security   Review and correlate security logs   Utilize subject matter knowledge in industry leading security solutions and best practices to implement one or more components of information security such as availability, integrity, confidentiality, risk management, threat identification, modeling, monitoring, incident response, access management, and business continuity   Identify security vulnerabilities and issues
          Key Role:          Apply leading-edge principles, theories, and concepts as you work on unusually complex problems and provide highly innovative solutions. Operate with substantial latitude for unreviewed actions or decisions while working closely with experts in mathematics and electrical engineering to produce the necessary results. Mentor or supervise employees in both firm and technical competencies. Use advanced embedded software expertise while gaining experience in sensors, power harvesting, and edge-processed algorithms. Identify new opportunities to develop solutions to help our customers meet their toughest needs.                   Basic Qualifications:                    Experience with engineering requirements gathering, and design, development, debugging, or deployment of integrated or embedded devices           Experience with printed circuit board (PCB) design, including PCB testing, integration, or troubleshooting           Knowledge of rapid prototyping           Knowledge of software configuration control tools           Ability to lead teams of hardware and software engineers           Ability to communicate complex problems and innovative solutions to non-technical clients and audiences           Secret clearance           Bachelor's degree in Engineering, CS, or Mathematics and 8+ years of experience in Engineering, or Master’s degree in an Engineering, CS, or Mathematics field and 5+ years of experience in Engineering                            Additional Qualifications:                    Experience with programming in C or C++           Experience working with Git           Experience with Agile and Scrum project management           Experience with programming and scripting languages on Linux platforms           Experience with FPGA software and firmware development           Knowledge of bare-metal or RTOS-level development           Knowledge of applied RF communications theory           Ability to manage and mentor employees in both firm and technical competencies           Master's degree in EE or Computer Engineering                            Clearance:          Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.                   Compensation          At Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits
                   Work Model Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.                    If this position is listed as remote or hybrid, you’ll periodically work from a Booz Allen or client site facility.           If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role.                            EEO Commitment          We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state
          Key Role:          Apply leading-edge principles, theories, and concepts as you work on unusually complex problems and provide highly innovative solutions. Operate with substantial latitude for unreviewed actions or decisions while working closely with experts in mathematics and electrical engineering to produce the necessary results. Mentor or supervise employees in both firm and technical competencies. Use advanced embedded software expertise while gaining experience in sensors, power harvesting, and edge-processed algorithms. Identify new opportunities to develop solutions to help our customers meet their toughest needs.                   Basic Qualifications:                    Experience with engineering requirements gathering, and design, development, debugging, or deployment of integrated or embedded devices           Experience with printed circuit board (PCB) design, including PCB testing, integration, or troubleshooting           Knowledge of rapid prototyping           Knowledge of software configuration control tools           Ability to lead teams of hardware and software engineers           Ability to communicate complex problems and innovative solutions to non-technical clients and audiences           Secret clearance           Bachelor's degree in Engineering, CS, or Mathematics and 8+ years of experience in Engineering, or Master’s degree in an Engineering, CS, or Mathematics field and 5+ years of experience in Engineering                            Additional Qualifications:                    Experience with programming in C or C++           Experience working with Git           Experience with Agile and Scrum project management           Experience with programming and scripting languages on Linux platforms           Experience with FPGA software and firmware development           Knowledge of bare-metal or RTOS-level development           Knowledge of applied RF communications theory           Ability to manage and mentor employees in both firm and technical competencies           Master's degree in EE or Computer Engineering                            Clearance:          Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.                   Compensation          At Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits
                   Work Model Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.                    If this position is listed as remote or hybrid, you’ll periodically work from a Booz Allen or client site facility.           If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role.                            EEO Commitment          We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state
 Job Description :  Allegheny Valley Hospital is a community hospital with an OR Department consisting of 7 rooms and a wide variety of specialties from orthopedics, general surgery, robotics, urology, women’s health and more. Surgical Technologists are cross trained to function in all specialties. Our schedule is very flexible offering NO call/weekend/holiday hours for all tech positions.  We currently offer a well rounded benefits package to include, but not limited to sign-on bonus, medical, dental, vision, 401k with an employer match & more!  The amount of the sign-on bonus is dependent upon your years of Surgical Technology experience, exclusions apply.  0-1 years of experience:  2-year commitment: $10,000  3-year commitment: $12,000  1-2 years of experience:  2-year commitment: $10,000  3-year commitment: $17,000  2+ years of experience:  2-year commitment: $15,000  3-year commitment: $25,000  GENERAL OVERVIEW:  Performs direct and indirect technical tasks for patients before, during, and after surgical interventions.  ESSENTIAL RESPONSIBILITIES:    Assists in setting up the surgical operating suite with appropriate instruments and supplies. (20%)   Utilizes proper aseptic techniques and practices standard precautions. Follows policy for medication and specimen handling. (20%)   Assists with preparing, positioning and draping patients and participates in the surgical pause to assure correct patient and surgical site. (20%)   Understands, anticipates and adapts to surgeon preference and patient care variables, and contributes to updating surgeon preference materials. (20%)   Performs sponge, needle, and instrument count. (10%)   Cares for and utilizes resources to promote cost effective and efficient environment for patients. (10%)   Performs other duties as assigned or required.   QUALIFICATIONS:  Minimum    One year certificate from a college or technical school; or three to six months related experience and/or training; or equivalent combination of education and experience.   Surgical Technologist (ST) hired after 12/29/2020 must: 
       Successfully complete a Surgical Technologist program sponsored by an entity holding nationally recognized institutional or programmatic accreditation and maintain a surgical technologist certification from an accredited certification program (including military completed programs). Certified Surgical Technologist (CST) certification required within 6 months of completion of Surgical Technologist program. OR     Be employed to practice surgical technology by the health care facility on or before December 29, 2020 OR     Been employed to practice surgical technology as the individual's primary function in another health care facility at any time during the two years immediately preceding December 29, 2020      Preferred    1-3 years of Surgical Technologist experience.   As a component of job responsibilities, employees may have access to covered information, cardholder data, or other confidential customer information that must be protected at all times. In connection with this, all employees must comply with both the Health Insurance Portability Accountability Act of 1996 (HIPAA) as described in the Notice of Privacy Practices and Privacy Policies and Procedures as well as all data security guidelines established within the Company’s Handbook of Privacy Policies and Practices and Information Security Policy. Furthermore, it is every employee’s responsibility to comply with the company’s Code of Business Conduct. This includes but is not limited to adherence to applicable federal and state laws, rules, and regulations as well as company policies and training requirements.  #INDS123  Highmark Health and its affiliates prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, age, religion, sex, national origin, sexual orientation/gender identity or any other category protected by applicable federal, state or local law. Highmark Health and its affiliates take affirmative action to employ and advance in employment individuals without regard to race, color, age, religion, sex, national origin, sexual orientation/gender identity
 Job Description :  Allegheny Valley Hospital is a community hospital with an OR Department consisting of 7 rooms and a wide variety of specialties from orthopedics, general surgery, robotics, urology, women’s health and more. Surgical Technologists are cross trained to function in all specialties. Our schedule is very flexible offering NO call/weekend/holiday hours for all tech positions.  We currently offer a well rounded benefits package to include, but not limited to sign-on bonus, medical, dental, vision, 401k with an employer match & more!  The amount of the sign-on bonus is dependent upon your years of Surgical Technology experience, exclusions apply.  0-1 years of experience:  2-year commitment: $10,000  3-year commitment: $12,000  1-2 years of experience:  2-year commitment: $10,000  3-year commitment: $17,000  2+ years of experience:  2-year commitment: $15,000  3-year commitment: $25,000  GENERAL OVERVIEW:  Performs direct and indirect technical tasks for patients before, during, and after surgical interventions.  ESSENTIAL RESPONSIBILITIES:    Assists in setting up the surgical operating suite with appropriate instruments and supplies. (20%)   Utilizes proper aseptic techniques and practices standard precautions. Follows policy for medication and specimen handling. (20%)   Assists with preparing, positioning and draping patients and participates in the surgical pause to assure correct patient and surgical site. (20%)   Understands, anticipates and adapts to surgeon preference and patient care variables, and contributes to updating surgeon preference materials. (20%)   Performs sponge, needle, and instrument count. (10%)   Cares for and utilizes resources to promote cost effective and efficient environment for patients. (10%)   Performs other duties as assigned or required.   QUALIFICATIONS:  Minimum    One year certificate from a college or technical school; or three to six months related experience and/or training; or equivalent combination of education and experience.   Surgical Technologist (ST) hired after 12/29/2020 must: 
       Successfully complete a Surgical Technologist program sponsored by an entity holding nationally recognized institutional or programmatic accreditation and maintain a surgical technologist certification from an accredited certification program (including military completed programs). Certified Surgical Technologist (CST) certification required within 6 months of completion of Surgical Technologist program. OR     Be employed to practice surgical technology by the health care facility on or before December 29, 2020 OR     Been employed to practice surgical technology as the individual's primary function in another health care facility at any time during the two years immediately preceding December 29, 2020      Preferred    1-3 years of Surgical Technologist experience.   As a component of job responsibilities, employees may have access to covered information, cardholder data, or other confidential customer information that must be protected at all times. In connection with this, all employees must comply with both the Health Insurance Portability Accountability Act of 1996 (HIPAA) as described in the Notice of Privacy Practices and Privacy Policies and Procedures as well as all data security guidelines established within the Company’s Handbook of Privacy Policies and Practices and Information Security Policy. Furthermore, it is every employee’s responsibility to comply with the company’s Code of Business Conduct. This includes but is not limited to adherence to applicable federal and state laws, rules, and regulations as well as company policies and training requirements.  #INDS123  Highmark Health and its affiliates prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, age, religion, sex, national origin, sexual orientation/gender identity or any other category protected by applicable federal, state or local law. Highmark Health and its affiliates take affirmative action to employ and advance in employment individuals without regard to race, color, age, religion, sex, national origin, sexual orientation/gender identity
   This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.  In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.  For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits   CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.   You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.   CVS Health is committed to recruiting, hiring
   This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.  In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.  For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits   CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.   You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.   CVS Health is committed to recruiting, hiring
       STATEMENT OF ESSENTIAL JOB DUTIES        Participates in the following county wide fish habitat protection and restoration program elements: habitat acquisition and restoration, incentives and voluntary programs, public involvement and education, regulations implementing county comprehensive plan policies, inter jurisdictional coordination, and monitoring program effectiveness.     Conducts analysis and evaluation of freshwater and estuarine habitat, supporting ecosystem, and population levels of priority fish species; participates in drafting annual report on fish habitat conditions and population levels in the county.     Coordinates and provides technical assistance to county staff, such as engineers and planners, and cooperators, Washington Department of Fish and Wildlife, the U.S. Army Corps of Engineers, conservation districts or Indian tribes, in the design and implementation of habitat restoration projects; conducts on site inspections to help resolve disputes or conflicts; contributes to preparation of environmental assessments and impact statements.     Prepares and presents oral, written, and multimedia presentations (e.g., graphic and data displays, brochures, leaflets, slide/tap shows) for public and interagency meetings, hearings, planning commission briefings and county council work sessions.     Presents technical, regulatory, and policy options for habitat protection and improvement to surface water management division
       STATEMENT OF ESSENTIAL JOB DUTIES        Participates in the following county wide fish habitat protection and restoration program elements: habitat acquisition and restoration, incentives and voluntary programs, public involvement and education, regulations implementing county comprehensive plan policies, inter jurisdictional coordination, and monitoring program effectiveness.     Conducts analysis and evaluation of freshwater and estuarine habitat, supporting ecosystem, and population levels of priority fish species; participates in drafting annual report on fish habitat conditions and population levels in the county.     Coordinates and provides technical assistance to county staff, such as engineers and planners, and cooperators, Washington Department of Fish and Wildlife, the U.S. Army Corps of Engineers, conservation districts or Indian tribes, in the design and implementation of habitat restoration projects; conducts on site inspections to help resolve disputes or conflicts; contributes to preparation of environmental assessments and impact statements.     Prepares and presents oral, written, and multimedia presentations (e.g., graphic and data displays, brochures, leaflets, slide/tap shows) for public and interagency meetings, hearings, planning commission briefings and county council work sessions.     Presents technical, regulatory, and policy options for habitat protection and improvement to surface water management division
QUALIFICATIONSKnowledge of: Organization and management practices as applied to the development, analysis, and evaluation of programs, policies, and operational needs of the assigned area of responsibility.Principles and practices of park, sports and recreational facility, and landscape design, architecture, construction, maintenance and horticulture related to park and landscape planning and design and related recreational uses.Principles and utilization of architecture tools, templates, scales and graphics. Principles and practices of project management of large scale projects including managing timelines, monitoring and administering project budgets, and developing and delivering progress reports to governing bodies, management, and other stakeholders.Pertinent local, State and Federal rules, regulations, and laws.Principles and practices of employee supervision, including work planning, assignment review and evaluation, discipline, and the training of staff in work procedures.Techniques for providing a high level of customer service by effectively dealing with the public, vendors
QUALIFICATIONSKnowledge of: Organization and management practices as applied to the development, analysis, and evaluation of programs, policies, and operational needs of the assigned area of responsibility.Principles and practices of park, sports and recreational facility, and landscape design, architecture, construction, maintenance and horticulture related to park and landscape planning and design and related recreational uses.Principles and utilization of architecture tools, templates, scales and graphics. Principles and practices of project management of large scale projects including managing timelines, monitoring and administering project budgets, and developing and delivering progress reports to governing bodies, management, and other stakeholders.Pertinent local, State and Federal rules, regulations, and laws.Principles and practices of employee supervision, including work planning, assignment review and evaluation, discipline, and the training of staff in work procedures.Techniques for providing a high level of customer service by effectively dealing with the public, vendors
              Master services agreements        Responding to RFPs;        Transformative IT consulting services with large private and public sector entities;        Cyber security and other managed services offered by Deloitte; and        Strategic alliance agreements.                        Preparing agreements for the procurement of technology solutions and other products and services.      Advising on information/data security, privacy and confidentiality considerations.      Supporting on proposals, particularly review of public sector contracts in requests for proposal in response to public sector tenders and contracting with the federal, provincial and municipal governments and Crown corporations.                    About the team           This position will be part of our collegial and enthusiastic Office of the General Counsel. The Canadian OGC consists of approximately 25 people, including lawyers, paralegals, law clerks and paraprofessionals. We are looking for a motivated lawyer to add to the overall success of our team. This is a multi-faceted role with many opportunities to do a variety of challenging work.               Enough about us, let’s talk about you           You are someone who is:          8+ years of work experience as a corporate/commercial lawyer either at a law firm or as in-house counsel with a background in technology preferred.      Licensed member of the Quebec Bar in good standing. Call to the Ontario bar would be an asset, but not required.      Fluent in English and French with work experience in civil law is a requirement for this position      Transactional involvement within a broad range of industries.      Self-motivated with a desire to work both independently and in a collegial team environment.      Strong desire to build relationships within Quebec and the rest of Canada.      Proven analytical and problem-solving skills with experience resolving complex issues; possesses strong decision-making skills and excellent drafting and negotiation skills.      Excellent organization skills and able to manage competing priorities in a time sensitive manner.      Demonstrated willingness to accept challenges and ability to work well under pressure in a fast-paced environment with competing client demands.      Experience drafting and negotiating, commercial contracts, license agreements, master services agreements, transitional services agreements, non-disclosure and confidentiality agreements.      Client-service oriented with a proven commitment to quality.      Demonstrates consistent thought leadership and strategic thinking in sensitive and complex situations.             Our promise to our people: Deloitte is where potential comes to life.   Be yourself, and more.  We are a group of talented people who want to learn, gain experience, and develop skills. Wherever you are in your career, we want you to advance.  You shape how we make impact.  Diverse perspectives and life experiences make us better. Whoever you are and wherever you’re from, we want you to feel like you belong here. We provide flexible working options to support you and how you can contribute. Be the leader you want to be.  Be the leader you want to be  Some guide teams, some change culture, some build essential expertise. We offer opportunities and experiences that support your continuing growth as a leader.  Have as many careers as you want.  We are uniquely able to offer you new challenges and roles – and prepare you for them. We bring together people with unique experiences and talents, and we are the place to develop a lasting network of friends, peers, and mentors. Our TVP is about relationships – between leaders and their people
              Master services agreements        Responding to RFPs;        Transformative IT consulting services with large private and public sector entities;        Cyber security and other managed services offered by Deloitte; and        Strategic alliance agreements.                        Preparing agreements for the procurement of technology solutions and other products and services.      Advising on information/data security, privacy and confidentiality considerations.      Supporting on proposals, particularly review of public sector contracts in requests for proposal in response to public sector tenders and contracting with the federal, provincial and municipal governments and Crown corporations.                    About the team           This position will be part of our collegial and enthusiastic Office of the General Counsel. The Canadian OGC consists of approximately 25 people, including lawyers, paralegals, law clerks and paraprofessionals. We are looking for a motivated lawyer to add to the overall success of our team. This is a multi-faceted role with many opportunities to do a variety of challenging work.               Enough about us, let’s talk about you           You are someone who is:          8+ years of work experience as a corporate/commercial lawyer either at a law firm or as in-house counsel with a background in technology preferred.      Licensed member of the Quebec Bar in good standing. Call to the Ontario bar would be an asset, but not required.      Fluent in English and French with work experience in civil law is a requirement for this position      Transactional involvement within a broad range of industries.      Self-motivated with a desire to work both independently and in a collegial team environment.      Strong desire to build relationships within Quebec and the rest of Canada.      Proven analytical and problem-solving skills with experience resolving complex issues; possesses strong decision-making skills and excellent drafting and negotiation skills.      Excellent organization skills and able to manage competing priorities in a time sensitive manner.      Demonstrated willingness to accept challenges and ability to work well under pressure in a fast-paced environment with competing client demands.      Experience drafting and negotiating, commercial contracts, license agreements, master services agreements, transitional services agreements, non-disclosure and confidentiality agreements.      Client-service oriented with a proven commitment to quality.      Demonstrates consistent thought leadership and strategic thinking in sensitive and complex situations.             Our promise to our people: Deloitte is where potential comes to life.   Be yourself, and more.  We are a group of talented people who want to learn, gain experience, and develop skills. Wherever you are in your career, we want you to advance.  You shape how we make impact.  Diverse perspectives and life experiences make us better. Whoever you are and wherever you’re from, we want you to feel like you belong here. We provide flexible working options to support you and how you can contribute. Be the leader you want to be.  Be the leader you want to be  Some guide teams, some change culture, some build essential expertise. We offer opportunities and experiences that support your continuing growth as a leader.  Have as many careers as you want.  We are uniquely able to offer you new challenges and roles – and prepare you for them. We bring together people with unique experiences and talents, and we are the place to develop a lasting network of friends, peers, and mentors. Our TVP is about relationships – between leaders and their people
 $5,000 Sign on bonus for Full-time, $2,500 Sign on bonus for Part-time, Daily Pay, tuition reimbursement for LPN and RN programs, no mandate to stay over for shift coverage, CNA wage differential, referral bonuses, employee discounts with Verizon, Costco, Disney & more, employee appreciation events, uniforms, paid time off programs, paid parental leave, medical plan options, dental, vision, 401(k) with employer match, pet insurance," EAP and more!""",AS,https://www.indeed.com/cmp/Promedica-Senior-Care?campaignid=mobvjcmp&from=mobviewjob&tk=1hersq1q9k55o803&fromjk=3914a983eee82452
